Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
68,2760,0.40649986267089844,0.37748050689697266,0.3754146993160248,0.3534800410270691,40,30.982696301550828,espresso,0.5983722805976868,cup,0.06574541330337524,plate,0.014269731007516384,coffeepot,0.008107604458928108,spatula,0.004889355041086674,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
69,2800,0.40500926971435547,0.3807988166809082,0.3820619285106659,0.351163387298584,40,30.825334654885868,espresso,0.5995362401008606,cup,0.06374502927064896,plate,0.013500653207302094,coffeepot,0.0077557931654155254,spatula,0.004536434542387724,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
70,2840,0.40788763761520386,0.3833497166633606,0.3811068832874298,0.3660695552825928,40,32.38488956480784,espresso,0.5959322452545166,cup,0.07278866320848465,plate,0.013379900716245174,coffeepot,0.008047613315284252,bagel,0.003813020186498761,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
71,2880,0.41269177198410034,0.3883797228336334,0.3894651532173157,0.3662855625152588,40,31.973155854175232,espresso,0.5910723805427551,cup,0.0756567120552063,plate,0.01409999467432499,coffeepot,0.008290457539260387,bagel,0.003804062260314822,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
72,2920,0.42179423570632935,0.39284515380859375,0.3934013247489929,0.3642169237136841,40,32.624864732508705,espresso,0.5828070640563965,cup,0.07555924355983734,plate,0.01578032597899437,coffeepot,0.007952418178319931,spatula,0.004564492963254452,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
73,2960,0.4243655800819397,0.39698526263237,0.3994895815849304,0.3609864115715027,40,32.44501356781112,espresso,0.5797445178031921,cup,0.0717543289065361,plate,0.013890671543776989,coffeepot,0.008074695244431496,eggnog,0.004112968221306801,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
74,3000,0.4419388175010681,0.3980652987957001,0.39516621828079224,0.3689836263656616,40,32.82533152972185,espresso,0.5626154541969299,cup,0.07284989953041077,plate,0.014966308139264584,coffeepot,0.008043181151151657,bagel,0.00460420036688447,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
75,3040,0.4382023215293884,0.3971397280693054,0.39958760142326355,0.3712916970252991,40,34.08694680965356,espresso,0.5661802887916565,cup,0.07232579588890076,plate,0.014898947440087795,coffeepot,0.0085911825299263,bagel,0.004366221372038126,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
76,3080,0.43715381622314453,0.4043459892272949,0.4045149087905884,0.3758043050765991,40,32.25889305944669,espresso,0.5674180388450623,cup,0.0638253316283226,plate,0.014803732745349407,coffeepot,0.008143334649503231,wooden_spoon,0.004621404688805342,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
77,3120,0.43347686529159546,0.4072008728981018,0.4061102569103241,0.38114219903945923,40,31.633341379416528,espresso,0.5711153745651245,cup,0.06509388983249664,plate,0.013890272937715054,coffeepot,0.00832247082144022,eggnog,0.004657086916267872,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
78,3160,0.4496755003929138,0.4112892150878906,0.41134917736053467,0.3829483389854431,40,32.97130676129505,espresso,0.5550605058670044,cup,0.071881964802742,plate,0.013653453439474106,coffeepot,0.008243017829954624,wooden_spoon,0.004749005660414696,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
79,3200,0.45025479793548584,0.415614515542984,0.4125470519065857,0.3844029903411865,40,33.565126079206756,espresso,0.5547155737876892,cup,0.06867125630378723,plate,0.013203066773712635,coffeepot,0.008054662495851517,wooden_spoon,0.0049233450554311275,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
80,3240,0.4492604732513428,0.42104893922805786,0.4229157567024231,0.38658708333969116,40,33.136434952912175,espresso,0.556101381778717,cup,0.06905592978000641,plate,0.01396652776747942,coffeepot,0.008444669656455517,wooden_spoon,0.005333153065294027,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
